military_rank,tax_number,full_name,birth_date,source_unit,specialty_name,specialty_code,specialty_mos_code,category,training_location,start_date,end_date,completion_order_number,completion_certificate_number,notes
головний сержант,2743442410,ПАНЧЕНКО Андрій Павлович,02/10/1975,А7014,Водій,837,837037,КІБР,242 ЦПП,11/14/2025,01/08/2026,№355 від 08.01.2026,28154,
старший солдат,3582253140,КОНДРАТЮК Андрій Петрович,01/28/1998,А0998,Сапер,166,166611,КІБР,121 НЦ,10/22/2025,12/15/2025,№420 від 15.12.2025,33200,
молодший сержант,3370412741,ХОТЯНОВИЧ Микола Андрійович,04/11/1992,А1126,Сапер,166,166611,КІБР,242 ЦПП,11/17/2025,01/02/2026,№407 від 02.01.2026,55286,
сержант,2925906608,ХОТЯНОВИЧ Вадим Глібович,02/09/1980,А4754,Заряджаючий,113,113251,КІБР,333 брез,10/01/2025,11/27/2025,№147 від 27.11.2025,42082,
старший солдат,2714885500,КРАВЧЕНКО Дмитро Петрович,04/30/1974,А4010,Гранатометник,107,107543,КІБР,121 НЦ,10/19/2025,12/09/2025,№291 від 09.12.2025,65799,
старший сержант,3003234704,КИРИЛЕНКО Костянтин Михайлович,03/23/1982,А4007,Оператор БПЛА,212,212720,КІБР,333 брез,11/28/2025,01/16/2026,№84 від 16.01.2026,39335,
солдат,3351373569,КОРШЕВНЮК Юрій Сергійович,10/03/1991,А4754,Водій,837,837037,КІБР,111 брез,11/19/2025,01/09/2026,№464 від 09.01.2026,77940,
головний сержант,3002321490,ПАВЛЕНКО Сергій Богданович,03/14/1982,А1126,Оператор БПЛА,212,212720,КІБР,222 брез,11/23/2025,01/17/2026,№408 від 17.01.2026,87309,
головний сержант,3109787582,ТИЩЕНКО Богдан Іванович,02/20/1985,А0998,Водій,837,837037,КІБР,333 брез,10/06/2025,11/30/2025,№334 від 30.11.2025,48230,
старший солдат,3193653356,КОНДРАТЮК Валерій Олександрович,06/09/1987,А0998,Телеграфіст,402,402721,КІБР,333 брез,11/19/2025,01/10/2026,№363 від 10.01.2026,83157,
старший солдат,3453681826,ЗАЙЦЕВ Павло Петрович,07/22/1994,А4010,Оператор БПЛА,212,212720,КІБР,242 ЦПП,10/22/2025,12/14/2025,№2 від 14.12.2025,39296,
головний сержант,3760318943,ВОРОНОВ Борис Володимирович,12/14/2002,А4007,Бойовий медик,878,878453,КІБР,222 брез,10/09/2025,12/06/2025,№248 від 06.12.2025,73357,
старший сержант,2885472131,БОНДАРЕНКО Петро Глібович,12/31/1978,А4754,Стрілець,100,100915,БЗВП,121 НЦ,11/14/2025,01/04/2026,№169 від 04.01.2026,69615,
старший сержант,3329927690,КОРШЕВНЮК Віктор Валерійович,03/03/1991,А2167,Снайпер,110,110001,КІБР,111 брез,10/21/2025,12/09/2025,№322 від 09.12.2025,88432,
молодший сержант,2875368042,КОЗАК Дмитро Ігорович,09/21/1978,А7014,Радіотелефоніст,403,403733,КІБР,242 ЦПП,11/01/2025,12/26/2025,№394 від 26.12.2025,79657,
старший солдат,2994573816,ГРИЦЕНКО Василь Павлович,12/26/1981,А4754,Розвідник,106,106642,КІБР,333 брез,10/20/2025,12/05/2025,№260 від 05.12.2025,72529,
старший солдат,2632077143,КУЗЬМЕНКО Анатолій Глібович,01/23/1972,А7014,Телеграфіст,402,402721,КІБР,121 НЦ,11/20/2025,01/14/2026,№136 від 14.01.2026,10272,
головний сержант,3124066660,ГЕРАСИМЕНКО Володимир Михайлович,07/13/1985,А4754,Заряджаючий,113,113251,КІБР,333 брез,10/25/2025,12/16/2025,№447 від 16.12.2025,82153,
солдат,3035892735,ДЯЧЕНКО В'ячеслав Юрійович,02/12/1983,А0998,Розвідник,106,106642,КІБР,222 брез,11/20/2025,01/11/2026,№74 від 11.01.2026,45635,
солдат,2977729969,МАРТИНЕНКО Максим Михайлович,07/11/1981,А4007,Гранатометник,107,107543,КІБР,121 НЦ,11/26/2025,01/22/2026,№372 від 22.01.2026,23211,
солдат,2766701312,ТКАЧУК Сергій Віталійович,10/01/1975,А2167,Кулеметник,101,101255,КІБР,242 ЦПП,10/04/2025,11/29/2025,№324 від 29.11.2025,51513,
солдат,2978802160,БІЛОУС Микола Юрійович,07/22/1981,А0998,Сапер,166,166611,КІБР,222 брез,10/28/2025,12/19/2025,№39 від 19.12.2025,93802,
старший сержант,2606300509,КРАВЧЕНКО Андрій Юрійович,05/11/1971,А4754,Водій,837,837037,КІБР,111 брез,11/16/2025,01/03/2026,№26 від 03.01.2026,77015,
молодший сержант,3784407246,КОНДРАТЮК Руслан Михайлович,08/12/2003,А2167,Сапер,166,166611,КІБР,333 брез,11/18/2025,01/04/2026,№193 від 04.01.2026,29203,
молодший сержант,2682529460,МОРОЗ Ігор Олександрович,06/11/1973,А4010,Бойовий медик,878,878453,КІБР,111 брез,10/01/2025,11/15/2025,№145 від 15.11.2025,88562,
старший солдат,3829577865,ВОРОНОВ Микола Павлович,11/05/2004,А0998,Кухар,868,868512,КІБР,222 брез,10/23/2025,12/12/2025,№313 від 12.12.2025,43906,
молодший сержант,3426283883,ПОЛІЩУК Віталій Богданович,10/21/1993,А4007,Оператор БПЛА,212,212720,КІБР,121 НЦ,10/15/2025,11/29/2025,№402 від 29.11.2025,36825,
головний сержант,2701276805,КУЗЬМЕНКО Артем Олександрович,12/15/1973,А0501,Снайпер,110,110001,КІБР,121 НЦ,10/14/2025,11/30/2025,№76 від 30.11.2025,20070,
старший сержант,2972562887,КОЗАК Олександр Михайлович,05/20/1981,А4754,Снайпер,110,110001,КІБР,242 ЦПП,10/27/2025,12/15/2025,№297 від 15.12.2025,52490,
молодший сержант,2714183483,БОНДАРЕНКО Віталій Іванович,04/23/1974,А0998,Розвідник,106,106642,КІБР,222 брез,10/22/2025,12/07/2025,№393 від 07.12.2025,39366,
сержант,2840866381,ТИЩЕНКО Дмитро Степанович,10/11/1977,А0501,Розвідник,106,106642,КІБР,111 брез,11/03/2025,12/25/2025,№403 від 25.12.2025,84143,
старший солдат,3705732023,ДОВЖЕНКО Сергій Іванович,06/16/2001,А2167,Кухар,868,868512,КІБР,242 ЦПП,11/09/2025,01/06/2026,№250 від 06.01.2026,25708,
старший сержант,3523709040,ГРИЦЕНКО Денис Сергійович,06/22/1996,А2167,Радіотелефоніст,403,403733,КІБР,121 НЦ,11/13/2025,01/03/2026,№171 від 03.01.2026,88361,
молодший сержант,3832196855,ХОТЯНОВИЧ Віктор Олександрович,12/01/2004,А7014,Бойовий медик,878,878453,КІБР,111 брез,11/25/2025,01/20/2026,№390 від 20.01.2026,68540,
старший солдат,3440934662,ПАВЛЕНКО Валерій Сергійович,03/17/1994,А2167,Кулеметник,101,101255,КІБР,121 НЦ,10/05/2025,11/23/2025,№178 від 23.11.2025,94079,
старший солдат,2692847350,ПОЛІЩУК Дмитро Павлович,09/22/1973,А0998,Гранатометник,107,107543,КІБР,242 ЦПП,10/21/2025,12/14/2025,№341 від 14.12.2025,90237,
молодший сержант,3483995939,БІЛОУС Олександр Михайлович,05/21/1995,А4007,Водій,837,837037,КІБР,222 брез,11/21/2025,01/07/2026,№271 від 07.01.2026,16138,
солдат,3715546275,КОРШЕВНЮК Сергій Олегович,09/22/2001,А0666,Сапер,166,166611,КІБР,121 НЦ,11/03/2025,12/29/2025,№22 від 29.12.2025,43591,
молодший сержант,2907969875,ТИЩЕНКО Юрій Степанович,08/13/1979,А0666,Оператор БПЛА,212,212720,КІБР,121 НЦ,11/27/2025,01/12/2026,№152 від 12.01.2026,37283,
старший сержант,3025587767,ЗАЙЦЕВ Олег Олександрович,11/01/1982,А4007,Радіотелефоніст,403,403733,КІБР,111 брез,11/24/2025,01/23/2026,№150 від 23.01.2026,47554,
старший солдат,3328247430,БІЛОУС Гліб Степанович,02/14/1991,А4754,Кухар,868,868512,КІБР,222 брез,10/28/2025,12/24/2025,№452 від 24.12.2025,49426,
солдат,3483282280,БІЛОУС Віктор Валерійович,05/14/1995,А0139,Кулеметник,101,101255,КІБР,333 брез,11/24/2025,01/23/2026,№204 від 23.01.2026,94914,
солдат,3341463858,ДОВЖЕНКО Вадим Сергійович,06/26/1991,А0139,Механік-водій,121,121223,КІБР,333 брез,11/05/2025,12/28/2025,№495 від 28.12.2025,92631,
молодший сержант,2967357071,ПАВЛЕНКО Руслан Сергійович,03/29/1981,А4007,Гранатометник,107,107543,КІБР,111 брез,10/06/2025,12/02/2025,№72 від 02.12.2025,14137,
молодший сержант,3760853497,КОТОВ Михайло Михайлович,12/19/2002,А0666,Оператор БПЛА,212,212720,КІБР,111 брез,10/03/2025,11/20/2025,№85 від 20.11.2025,12902,
старший сержант,3214089217,САВЧЕНКО Андрій Валерійович,12/30/1987,А1126,Радіотелефоніст,403,403733,КІБР,333 брез,11/07/2025,12/31/2025,№154 від 31.12.2025,65097,
молодший сержант,3264040620,МЕЛЬНИК Андрій Павлович,05/13/1989,А0501,Оператор БПЛА,212,212720,КІБР,111 брез,10/25/2025,12/17/2025,№56 від 17.12.2025,54909,
старший сержант,3124339685,ШЕВЧЕНКО Олег Михайлович,07/16/1985,А0501,Розвідник,106,106642,КІБР,111 брез,10/28/2025,12/21/2025,№19 від 21.12.2025,48649,
старший солдат,3207516710,ГРИЦЕНКО Олексій Ігорович,10/26/1987,А0139,Радіотелефоніст,403,403733,КІБР,111 брез,11/24/2025,01/10/2026,№336 від 10.01.2026,82961,
сержант,3372837392,БОНДАРЕНКО Віктор Степанович,05/05/1992,А7014,Гранатометник,107,107543,КІБР,121 НЦ,11/10/2025,01/06/2026,№21 від 06.01.2026,51976,
старший солдат,3474681399,ПОЛІЩУК Павло Ігорович,02/17/1995,А0666,Радіотелефоніст,403,403733,КІБР,222 брез,10/14/2025,12/03/2025,№248 від 03.12.2025,23249,
молодший сержант,3468402838,ТИЩЕНКО Денис Богданович,12/17/1994,А0666,Снайпер,110,110001,КІБР,242 ЦПП,10/16/2025,11/30/2025,№169 від 30.11.2025,82786,
сержант,2879848972,ПАНЧЕНКО Валерій Володимирович,11/05/1978,А4010,Радіотелефоніст,403,403733,КІБР,121 НЦ,10/05/2025,12/02/2025,№214 від 02.12.2025,22788,
молодший сержант,3633060837,МЕЛЬНИК Богдан Сергійович,06/20/1999,А4754,Снайпер,110,110001,КІБР,222 брез,10/01/2025,11/27/2025,№412 від 27.11.2025,11614,
молодший сержант,3268514813,КОЗАК Сергій Олександрович,06/27/1989,А0501,Кухар,868,868512,КІБР,111 брез,10/27/2025,12/17/2025,№182 від 17.12.2025,15401,
молодший сержант,3352327847,БІЛОУС Дмитро Сергійович,10/13/1991,А4754,Гранатометник,107,107543,КІБР,242 ЦПП,10/12/2025,12/10/2025,№1 від 10.12.2025,71286,
солдат,3679386727,МЕЛЬНИК Сергій Михайлович,09/25/2000,А0998,Сапер,166,166611,КІБР,242 ЦПП,10/26/2025,12/18/2025,№389 від 18.12.2025,83570,
головний сержант,3564340040,ЛИТВИН Михайло Сергійович,08/02/1997,А0501,Оператор БПЛА,212,212720,КІБР,333 брез,11/12/2025,12/29/2025,№277 від 29.12.2025,40869,
молодший сержант,3573761685,МЕЛЬНИК Гліб Сергійович,11/04/1997,А1126,Кулеметник,101,101255,КІБР,242 ЦПП,11/06/2025,01/03/2026,№265 від 03.01.2026,25951,
старший сержант,3199082765,МОРОЗ Максим Сергійович,08/02/1987,А2167,Кулеметник,101,101255,КІБР,111 брез,11/19/2025,01/14/2026,№444 від 14.01.2026,56406,
молодший сержант,3210858276,МАРТИНЕНКО Андрій Анатолійович,11/28/1987,А1126,Бойовий медик,878,878453,КІБР,333 брез,10/19/2025,12/12/2025,№292 від 12.12.2025,47497,
молодший сержант,3767153630,КОЗАК Гліб Олегович,02/20/2003,А0998,Снайпер,110,110001,КІБР,333 брез,11/23/2025,01/10/2026,№24 від 10.01.2026,92291,
старший сержант,3687407392,САВЧЕНКО Олександр Андрійович,12/15/2000,А2167,Телеграфіст,402,402721,КІБР,121 НЦ,11/18/2025,01/17/2026,№412 від 17.01.2026,40597,
сержант,3458863668,ШЕВЧЕНКО Денис Богданович,09/12/1994,А4754,Радіотелефоніст,403,403733,КІБР,333 брез,11/01/2025,12/19/2025,№167 від 19.12.2025,82313,
старший солдат,3298064886,ЗАЙЦЕВ Костянтин Глібович,04/18/1990,А4754,Стрілець,100,100915,БЗВП,222 брез,11/28/2025,01/15/2026,№13 від 15.01.2026,96274,
молодший сержант,2956946039,КРАВЧЕНКО Сергій Віталійович,12/15/1980,А1126,Водій,837,837037,КІБР,222 брез,11/07/2025,12/23/2025,№144 від 23.12.2025,11597,
старший солдат,2719445498,МОРОЗ Василь Сергійович,06/15/1974,А4010,Стрілець,100,100915,БЗВП,222 брез,10/21/2025,12/16/2025,№459 від 16.12.2025,49286,
головний сержант,3831103756,КИРИЛЕНКО Володимир Анатолійович,11/21/2004,А7014,Механік-водій,121,121223,КІБР,121 НЦ,11/18/2025,01/17/2026,№491 від 17.01.2026,23588,
молодший сержант,3148543725,МОРОЗ Максим Павлович,03/15/1986,А4754,Оператор БПЛА,212,212720,КІБР,111 брез,10/24/2025,12/23/2025,№308 від 23.12.2025,81918,
сержант,2674710758,КРАВЧЕНКО Михайло Григорович,03/25/1973,А2167,Радіотелефоніст,403,403733,КІБР,222 брез,11/16/2025,12/31/2025,№56 від 31.12.2025,58388,
старший сержант,3125562484,ПОЛІЩУК Роман Степанович,07/28/1985,А0666,Водій,837,837037,КІБР,333 брез,11/04/2025,12/21/2025,№296 від 21.12.2025,70081,
старший солдат,3010492485,КРАВЧЕНКО Олексій Ігорович,06/03/1982,А0998,Розвідник,106,106642,КІБР,111 брез,10/14/2025,12/10/2025,№415 від 10.12.2025,99486,
старший сержант,3245035736,МАРТИНЕНКО В'ячеслав Ігорович,11/04/1988,А7014,Радіотелефоніст,403,403733,КІБР,111 брез,11/16/2025,01/08/2026,№341 від 08.01.2026,40448,
солдат,2797488316,ТИЩЕНКО Олег Олегович,08/03/1976,А2167,Сапер,166,166611,КІБР,242 ЦПП,10/13/2025,12/02/2025,№366 від 02.12.2025,13347,
солдат,3683424031,КОРШЕВНЮК Борис Сергійович,11/05/2000,А0666,Гранатометник,107,107543,КІБР,242 ЦПП,11/27/2025,01/11/2026,№441 від 11.01.2026,40317,
молодший сержант,3770347274,ЯКОВЕНКО Руслан Сергійович,03/24/2003,А7014,Механік-водій,121,121223,КІБР,222 брез,10/14/2025,12/04/2025,№274 від 04.12.2025,36005,
старший солдат,2904371918,ДОВЖЕНКО Микола Глібович,07/08/1979,А2167,Розвідник,106,106642,КІБР,222 брез,11/24/2025,01/16/2026,№342 від 16.01.2026,28162,
сержант,3598780815,ЯКОВЕНКО Володимир Олегович,07/12/1998,А4010,Телеграфіст,402,402721,КІБР,333 брез,11/07/2025,01/03/2026,№144 від 03.01.2026,68184,
старший солдат,3766927559,ТИЩЕНКО Олексій Сергійович,02/18/2003,А0666,Радіотелефоніст,403,403733,КІБР,242 ЦПП,10/23/2025,12/19/2025,№494 від 19.12.2025,85140,
головний сержант,3610829529,КОЗАК Вадим Андрійович,11/10/1998,А1126,Радіотелефоніст,403,403733,КІБР,111 брез,11/21/2025,01/09/2026,№241 від 09.01.2026,16668,
солдат,3695391850,КОТОВ Сергій Михайлович,03/04/2001,А0501,Радіотелефоніст,403,403733,КІБР,121 НЦ,11/13/2025,12/28/2025,№231 від 28.12.2025,34723,
головний сержант,3761743924,КОЗАК Денис Валерійович,12/28/2002,А0998,Телеграфіст,402,402721,КІБР,121 НЦ,10/08/2025,11/27/2025,№187 від 27.11.2025,26852,
головний сержант,3777290944,ХОТЯНОВИЧ Павло Сергійович,06/01/2003,А2167,Оператор БПЛА,212,212720,КІБР,242 ЦПП,11/20/2025,01/09/2026,№123 від 09.01.2026,65537,
головний сержант,3518790118,ПОЛІЩУК Ігор Сергійович,05/03/1996,А4010,Сапер,166,166611,КІБР,222 брез,10/14/2025,12/03/2025,№281 від 03.12.2025,85365,
старший сержант,3413739555,МАРТИНЕНКО Микола Валерійович,06/18/1993,А0998,Сапер,166,166611,КІБР,111 брез,10/27/2025,12/15/2025,№369 від 15.12.2025,19832,
старший сержант,3649183420,ХОТЯНОВИЧ Валерій Павлович,11/28/1999,А7014,Сапер,166,166611,КІБР,111 брез,10/08/2025,11/23/2025,№453 від 23.11.2025,39724,
солдат,2764141737,КРАВЧЕНКО Віталій Олександрович,09/05/1975,А0666,Водій,837,837037,КІБР,121 НЦ,10/07/2025,11/22/2025,№24 від 22.11.2025,19612,
сержант,3677186067,ГРИЦЕНКО Володимир Валерійович,09/03/2000,А0139,Стрілець,100,100915,БЗВП,333 брез,11/28/2025,01/24/2026,№80 від 24.01.2026,89194,
старший солдат,3706083097,ЯКОВЕНКО Павло Віталійович,06/19/2001,А4754,Оператор БПЛА,212,212720,КІБР,333 брез,11/15/2025,12/30/2025,№478 від 30.12.2025,46965,
старший солдат,2595858348,КОНДРАТЮК Ігор Петрович,01/26/1971,А0501,Телеграфіст,402,402721,КІБР,222 брез,11/18/2025,01/09/2026,№269 від 09.01.2026,91421,
сержант,2907758260,ВОРОНОВ Гліб Павлович,08/11/1979,А0666,Оператор БПЛА,212,212720,КІБР,111 брез,10/15/2025,11/30/2025,№253 від 30.11.2025,56383,
головний сержант,3573894255,КУЗЬМЕНКО Андрій Олегович,11/05/1997,А4010,Сапер,166,166611,КІБР,242 ЦПП,11/10/2025,01/07/2026,№457 від 07.01.2026,56522,
старший сержант,3358129432,КИРИЛЕНКО Вадим Олександрович,12/10/1991,А0139,Механік-водій,121,121223,КІБР,333 брез,10/06/2025,11/24/2025,№464 від 24.11.2025,18918,
головний сержант,3323338870,КОЗАК В'ячеслав Михайлович,12/27/1990,А2167,Оператор БПЛА,212,212720,КІБР,242 ЦПП,10/15/2025,12/06/2025,№27 від 06.12.2025,61076,
солдат,2822586783,БІЛОУС Роман Олександрович,04/11/1977,А2167,Кухар,868,868512,КІБР,111 брез,11/20/2025,01/05/2026,№69 від 05.01.2026,31703,
сержант,3370518651,ЗАЙЦЕВ Олексій Сергійович,04/12/1992,А7014,Снайпер,110,110001,КІБР,222 брез,10/16/2025,12/01/2025,№52 від 01.12.2025,62068,
старший солдат,3192142583,МАРТИНЕНКО Анатолій Миколайович,05/25/1987,А4754,Водій,837,837037,КІБР,242 ЦПП,11/20/2025,01/14/2026,№414 від 14.01.2026,11861,
солдат,3533901965,КОТОВ Вадим Михайлович,10/02/1996,А0139,Водій,837,837037,КІБР,242 ЦПП,10/05/2025,11/25/2025,№271 від 25.11.2025,81647,
сержант,3143099587,ПАВЛЕНКО Андрій Сергійович,01/19/1986,А0139,Кулеметник,101,101255,КІБР,111 брез,10/21/2025,12/15/2025,№258 від 15.12.2025,15151,
старший сержант,3271559709,МОРОЗ Гліб Богданович,07/27/1989,А0998,Механік-водій,121,121223,КІБР,111 брез,10/12/2025,11/30/2025,№433 від 30.11.2025,25226,
головний сержант,2934226630,КОНДРАТЮК Юрій Валерійович,05/02/1980,А0666,Бойовий медик,878,878453,КІБР,242 ЦПП,11/20/2025,01/11/2026,№350 від 11.01.2026,77642,
головний сержант,3742871464,МОРОЗ Віталій Олександрович,06/22/2002,А0501,Бойовий медик,878,878453,КІБР,333 брез,11/04/2025,12/19/2025,№120 від 19.12.2025,14413,
молодший сержант,3052041744,КРАВЧЕНКО Михайло Андрійович,07/24/1983,А1126,Телеграфіст,402,402721,КІБР,111 брез,10/05/2025,11/27/2025,№295 від 27.11.2025,22433,
молодший сержант,3668935137,ЗАЙЦЕВ Василь Михайлович,06/13/2000,А4007,Телеграфіст,402,402721,КІБР,333 брез,10/03/2025,12/01/2025,№77 від 01.12.2025,34605,
сержант,3226426044,ПАВЛЕНКО Іван Сергійович,05/02/1988,А0501,Стрілець,100,100915,БЗВП,333 брез,10/17/2025,12/07/2025,№203 від 07.12.2025,48240,
старший солдат,2692301688,КОЗАК Петро Олександрович,09/17/1973,А0501,Водій,837,837037,КІБР,242 ЦПП,11/06/2025,01/03/2026,№329 від 03.01.2026,93789,
солдат,2655541517,ЛИТВИН Вадим Олегович,09/14/1972,А1126,Телеграфіст,402,402721,КІБР,242 ЦПП,11/26/2025,01/19/2026,№461 від 19.01.2026,76110,
старший сержант,2618911899,КОРШЕВНЮК Роман Сергійович,09/14/1971,А4754,Стрілець,100,100915,БЗВП,242 ЦПП,11/16/2025,01/12/2026,№313 від 12.01.2026,69117,
сержант,3474369700,САВЧЕНКО Микола Володимирович,02/14/1995,А0998,Механік-водій,121,121223,КІБР,121 НЦ,10/13/2025,12/07/2025,№180 від 07.12.2025,48553,
сержант,2598933052,ЯКОВЕНКО Артем Глібович,02/26/1971,А1126,Заряджаючий,113,113251,КІБР,222 брез,10/03/2025,11/26/2025,№181 від 26.11.2025,55923,
сержант,2617942505,ШЕВЧЕНКО Микола Андрійович,09/04/1971,А0501,Бойовий медик,878,878453,КІБР,222 брез,10/22/2025,12/15/2025,№293 від 15.12.2025,20694,
солдат,3780618023,КИРИЛЕНКО Віктор Сергійович,07/05/2003,А2167,Розвідник,106,106642,КІБР,121 НЦ,11/11/2025,01/07/2026,№432 від 07.01.2026,64659,
сержант,2600648815,КОТОВ Дмитро Степанович,03/15/1971,А7014,Сапер,166,166611,КІБР,333 брез,11/09/2025,12/25/2025,№453 від 25.12.2025,42074,
старший сержант,2820371368,ШЕВЧЕНКО Віктор Степанович,03/20/1977,А4007,Телеграфіст,402,402721,КІБР,121 НЦ,11/01/2025,12/25/2025,№179 від 25.12.2025,32720,
молодший сержант,3395429826,МОРОЗ Микола Олегович,12/17/1992,А4010,Механік-водій,121,121223,КІБР,121 НЦ,11/26/2025,01/21/2026,№499 від 21.01.2026,55923,
головний сержант,3217543154,ДЯЧЕНКО Гліб Валерійович,02/03/1988,А0501,Кухар,868,868512,КІБР,333 брез,11/11/2025,01/10/2026,№16 від 10.01.2026,92825,
